Ocean Shore	sloe gin:1 ounce,gin:1/2 ounce,lemon juice:1/2 ounce,orgeat:1/4 ounce,egg white:1 tablespoon,
Suburban	rye whiskey:1 1/2 ounces,rum:1/2 ounce,port:1/2 ounce,Angostura Bitters:1 dash,orange bitters:1 dash,
Spencer	gin:1 1/2 ounces,apricot brandy:3/4 ounce,orange juice:1 dash,Angostura Bitters:1 dash,
Hakam	gin:1 1/2 ounces,sweet vermouth:1 1/2 ounces,orange cura�ao:2 dashes,orange bitters:1 dash,
White Lady	gin:1 1/2 ounces,Cointreau:3/4 ounce,lemon juice:3/4 ounce,
San Martin	gin:1 1/2 ounces,sweet vermouth:1 1/2 ounces,Chartreuse:1 teaspoon,
Attention	gin:1 1/2 ounces,dry vermouth:3/4 ounce,cr�me de violette:1/4 ounce,absinthe:2 dashes,orange bitters:2 dashes,
Washington	brandy:3/4 ounce,dry vermouth:1 1/2 ounces,Angostura Bitters:2 dashes,simple syrup:2 dashes,
Ford	gin:1 ounce,dry vermouth:1 ounce,Benedictine:3 dashes,orange bitters:3 dashes,
Biter	gin:1 1/2 ounces,lemon juice:3/4 ounce,simple syrup:1/4 ounce,Chartreuse:3/4 ounce,absinthe:1 dash,
Young Man	brandy:1 1/2 ounces,sweet vermouth:1/2 ounce,orange cura�ao:2 dashes,Angostura Bitters:1 dash,
Intro to Aperol	Aperol:2 ounces,gin:1 ounce,lemon juice:3/4 ounce,simple syrup:1/4 ounce,Angostura Bitters:1 dash,
Weeski	Irish whiskey:2 ounces,Lillet blanc:1 ounce,Cointreau:1/4 ounce,orange bitters:2 dashes,
Bamboo	dry vermouth:1 1/2 ounces,dry sherry:1 1/2 ounces,Angostura Bitters:1 dash,orange bitters:1 dash,
Harvest Moon	applejack:1 1/2 ounces,lime juice:1/2 ounce,orgeat:1/2 ounce,
Guion	gin:1 1/2 ounces,sweet vermouth:1 1/2 ounces,orange bitters:1 dash,Benedictine:1 teaspoon,
Fairbanks	gin:1 1/2 ounces,dry vermouth:1/2 ounce,orange bitters:2 dashes,cr�me de noyeux:2 dashes,
Prohibition	gin:1 ounce,Lillet blanc:1 ounce,apricot brandy:2 dashes,orange juice:2 dashes,
Flame of Love	vodka:2 ounces,sherry:1 teaspoon,
Apricot Lady	rum:1 ounce,apricot brandy:1 ounce,lemon juice:1/2 ounce,orange cura�ao:1/4 ounce,egg white:1 whole,
Queen�s Park Swizzle	rum:3 ounces,simple syrup:1/2 ounce,lime juice:1/2 ounce,Angostura Bitters:2 dashes,mint:10 whole,
Eye Opener	rum:1 1/2 ounces,orange cura�ao:1/2 teaspoon,apricot brandy:1/2 teaspoon,grenadine:1 teaspoon,egg yolk:1 whole,
Cornwall Negroni	gin:2 ounces,sweet vermouth:1/2 ounce,Campari:1/2 ounce,Punt e Mes:1/2 ounce,orange bitters:2 dashes,
Journalist	gin:1 1/2 ounces,dry vermouth:1/4 ounce,sweet vermouth:1/4 ounce,triple sec:2 dashes,lemon juice:2 dashes,Angostura Bitters:1 dash,
French Pearl	gin:2 ounces,lime juice:3/4 ounce,simple syrup:3/4 ounce,pastis:1/4 ounce,mint:6 whole,
Bramble	gin:1 1/2 ounces,lemon juice:3/4 ounce,simple syrup:1/2 ounce,cr�me de mure:3/4 ounce,
Penicillin	Scotch whisky:2 ounces,lemon juice:3/4 ounce,honey syrup:3/4 ounce,Scotch whisky:1/4 ounce,ginger:3 whole,
Harvard Fizz	brandy:1 1/2 ounces,sweet vermouth:3/4 ounce,orange bitters:1 dash,soda water:2 ounces,
Shifting Sands	gin:1 1/2 ounces,maraschino liqueur:2 teaspoons,grapefruit juice:1 1/2 ounces,lemon juice:1/2 ounce,soda water:2 ounces,
Red Hook	rye whiskey:2 ounces,maraschino liqueur:1/2 ounce,sweet vermouth:1/2 ounce,
Boulevardier	bourbon whiskey:1 1/2 ounces,Campari:1 ounce,sweet vermouth:1 ounce,
